   7227 0017F2	Apple
   5598 000E35	Intel Corp
   3524 50CCF8	Samsung Electro Mechanics
   1432 00AA70	LG Electronics
   1202 1C994C	Murata Manufactuaring Co.,Ltd.
    989 002376	HTC Corporation
    663 701A04	Liteon Tech Corp.
    565 001C10	Cisco-Linksys, LLC
    560 002269	Hon Hai Precision Ind. Co., Ltd.
    433 0896D7	AVM GmbH
    400 0CBD51	TCT Mobile Limited
    378 94DBC9	Azurewave
    286 303926	Sony Ericsson Mobile Communications AB
    247 4C60DE	NETGEAR
    189 0026B6	Askey Computer
    187 3085A9	Asustek Computer Inc
    155 001321	Hewlett-Packard Company
    150 2C9EFC	CANON INC.
    141 F4F5A5	Nokia corporation
    129 0026FF	Research In Motion
    117 0008CA	TwinHan Technology Co.,Ltd
    101 002368	Motorola
     90 00664B	Huawei Technologies Co., Ltd
     65 485A3F	WISOL
     60 0026AB	SEIKO EPSON CORPORATION
     51 000CE3	Option International N.V.
     50 147411	RIM
     47 CC96A0	Shenzhen Huawei Communication Technologies Co., Ltd
     47 5CE2F4	AcSiP Technology Corp.
     44 002722	Ubiquiti Networks
     40 00738D	Tinno Mobile Technology Corp
     38 E8D4E0	Beijing BenyWave Technology Co., Ltd.
     30 001860	SIM Technology Group Shanghai Simcom Ltd.,
     28 006026	VIKING Modular Solutions
     26 000420	Slim Devices, Inc.
     23 78E8B6	zte corporation
     20 503CC4	Lenovo Mobile Communication Technology Ltd.
     20 40FC89	ARRIS Group, Inc.
     18 0014A5	Gemtek Technology Co., Ltd.
     16 E0CB1D	 
     14 501AC5	Microsoft
     13 000CE7	MediaTek Inc.
     12 001F65	KOREA ELECTRIC TERMINAL CO., LTD.
     12 000822	InPro Comm
     10 5CFF35	Wistron Corporation
     10 002258	Taiyo Yuden Co., Ltd.
     10 0019CB	ZyXEL Communications Corporation
      9 589396	Ruckus Wireless
      9 4491DB	Shanghai Huaqin Telecom Technology Co.,Ltd
      8 402CF4	Universal Global Scientific Industrial Co., Ltd.
      7 0017CD	CEC Wireless R&D Ltd.
      6 88124E	Qualcomm Atheros
      6 645A04	Chicony Electronics Co., Ltd.
      6 00802F	NATIONAL INSTRUMENTS CORP.
      6 0014D1	TRENDnet
      6 000272	CC&C Technologies, Inc.
      5 ACF7F3	XIAOMI CORPORATION
      5 0016D4	Compal Communications, Inc.
      4 801F02	Edimax Technology Co. Ltd.
      3 0017AB	Nintendo Co., Ltd.
      3 000773	Ascom Powerline Communications Ltd.
      2 ACF1DF	D-Link International
      2 8C7716	LONGCHEER TELECOMMUNICATION LIMITED
      2 24DEC6	Aruba Networks
      2 00A096	MITSUMI ELECTRIC CO., LTD.
      2 002257	3Com Europe Ltd
      2 002127	TP-LINK Technology Co., Ltd.
      2 0017C4	Quanta Microsystems, INC.
      2 001723	Summit Data Communications
      2 001020	Hand Held Products Inc
      1 D05785	Pantech Co., Ltd.
      1 9003B7	PARROT
      1 00166D	Yulong Computer Telecommunication Scientific(shenzhen)Co.,Lt
      1 001570	Symbol TechnologiesWholly owned Subsidiary of Motorola
      1 000C8A	Bose Corporation
      1 00037F	Atheros Communications, Inc.
